id,name,forecast
1,北海道,016010
2,青森県,020010
3,岩手県,030010
4,宮城県,040010
5,秋田県,050010
6,山形県,060010
7,福島県,070010
8,茨城県,080010
9,栃木県,090010
10,群馬県,100010
11,埼玉県,110010
12,千葉県,120010
13,東京都,130010
14,神奈川県,140010
15,新潟県,150010
16,富山県,160010
17,石川県,170010
18,福井県,180010
19,山梨県,190010
20,長野県,200010
21,岐阜県,210010
22,静岡県,220010
23,愛知県,230010
24,三重県,240010
25,滋賀県,250010
26,京都府,260010
27,大阪府,270000
28,兵庫県,280010
29,奈良県,290010
30,和歌山県,300010
31,鳥取県,310010
32,島根県,320010
33,岡山県,330010
34,広島県,340010
35,山口県,350020
36,徳島県,360010
37,香川県,370000
38,愛媛県,380010
39,高知県,390010
40,福岡県,400010
41,佐賀県,410010
42,長崎県,420010
43,熊本県,430010
44,大分県,440010
45,宮崎県,450010
46,鹿児島県,460010
47,沖縄県,471010
